Standard Name,Standard Description,Standard URL,Domain,Grade,Strand,Parent Standard
CCSS.Math.Content.K.OA.A.5, Fluently add and subtract within 5.,http://www.corestandards.org/Math/Content/K/OA/A/5,Operations & Algebraic Thinking,Kindergarten,"Understand addition, and understand subtraction.",
CCSS.Math.Content.K.NBT.A.1," Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",http://www.corestandards.org/Math/Content/K/NBT/A/1,Number & Operations in Base Ten ,Kindergarten,Work with numbers 11-19 to gain foundations for place value.,
CCSS.Math.Content.K.MD.A.1," Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",http://www.corestandards.org/Math/Content/K/MD/A/1,Measurement & Data,Kindergarten,Describe and compare measurable attributes.,
CCSS.Math.Content.K.MD.A.2," Directly compare two objects with a measurable attribute in common, to see which object has “more of”/“less of” the attribute, and describe the difference. ",http://www.corestandards.org/Math/Content/K/MD/A/2,Measurement & Data,Kindergarten,Describe and compare measurable attributes.,
CCSS.Math.Content.K.MD.B.3, Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,http://www.corestandards.org/Math/Content/K/MD/B/3,Measurement & Data,Kindergarten,Classify objects and count the number of objects in each category.,
CCSS.Math.Content.K.G.A.1," Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as ",http://www.corestandards.org/Math/Content/K/G/A/1,Geometry,Kindergarten,Identify and describe shapes.,
CCSS.Math.Content.K.G.A.2, Correctly name shapes regardless of their orientations or overall size.,http://www.corestandards.org/Math/Content/K/G/A/2,Geometry,Kindergarten,Identify and describe shapes.,
CCSS.Math.Content.K.G.A.3," Identify shapes as two-dimensional (lying in a plane, “flat”) or three-dimensional (“solid”).",http://www.corestandards.org/Math/Content/K/G/A/3,Geometry,Kindergarten,Identify and describe shapes.,
CCSS.Math.Content.K.G.B.4," Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/“corners”) and other attributes (e.g., having sides of equal length).",http://www.corestandards.org/Math/Content/K/G/B/4,Geometry,Kindergarten,"Analyze, compare, create, and compose shapes.",
CCSS.Math.Content.K.G.B.5," Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",http://www.corestandards.org/Math/Content/K/G/B/5,Geometry,Kindergarten,"Analyze, compare, create, and compose shapes.",
CCSS.Math.Content.K.G.B.6, Compose simple shapes to form larger shapes. ,http://www.corestandards.org/Math/Content/K/G/B/6,Geometry,Kindergarten,"Analyze, compare, create, and compose shapes.",
CCSS.Math.Content.1.OA.A.1," Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",http://www.corestandards.org/Math/Content/1/OA/A/1,Operations & Algebraic Thinking,Grade 1,Represent and solve problems involving addition and subtraction.,
CCSS.Math.Content.1.OA.A.2," Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",http://www.corestandards.org/Math/Content/1/OA/A/2,Operations & Algebraic Thinking,Grade 1,Represent and solve problems involving addition and subtraction.,
CCSS.Math.Content.1.OA.B.3, Apply properties of operations as strategies to add and subtract.,http://www.corestandards.org/Math/Content/1/OA/B/3,Operations & Algebraic Thinking,Grade 1,Understand and apply properties of operations and the relationship between addition and subtraction.,
CCSS.Math.Content.1.OA.B.4, Understand subtraction as an unknown-addend problem. ,http://www.corestandards.org/Math/Content/1/OA/B/4,Operations & Algebraic Thinking,Grade 1,Understand and apply properties of operations and the relationship between addition and subtraction.,
CCSS.Math.Content.1.OA.C.5," Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",http://www.corestandards.org/Math/Content/1/OA/C/5,Operations & Algebraic Thinking,Grade 1,Add and subtract within 20.,
CCSS.Math.Content.1.OA.C.6," Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",http://www.corestandards.org/Math/Content/1/OA/C/6,Operations & Algebraic Thinking,Grade 1,Add and subtract within 20.,
CCSS.Math.Content.1.OA.D.7," Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 – 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.",http://www.corestandards.org/Math/Content/1/OA/D/7,Operations & Algebraic Thinking,Grade 1,Work with addition and subtraction equations.,
CCSS.Math.Content.1.OA.D.8, Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. ,http://www.corestandards.org/Math/Content/1/OA/D/8,Operations & Algebraic Thinking,Grade 1,Work with addition and subtraction equations.,
CCSS.Math.Content.1.NBT.A.1," Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",http://www.corestandards.org/Math/Content/1/NBT/A/1,Number & Operations in Base Ten ,Grade 1,Extend the counting sequence.,
CCSS.Math.Content.1.NBT.B.2, Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,http://www.corestandards.org/Math/Content/1/NBT/B/2,Number & Operations in Base Ten ,Grade 1,Understand place value.,
CCSS.Math.Content.1.NBT.B.2a, 10 can be thought of as a bundle of ten ones  -  called a “ten.”,http://www.corestandards.org/Math/Content/1/NBT/B/2/a,Number & Operations in Base Ten ,Grade 1,Understand place value.,CCSS.Math.Content.1.NBT.B.2
CCSS.Math.Content.1.NBT.B.2b," The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",http://www.corestandards.org/Math/Content/1/NBT/B/2/b,Number & Operations in Base Ten ,Grade 1,Understand place value.,CCSS.Math.Content.1.NBT.B.2
CCSS.Math.Content.1.NBT.B.2c," The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",http://www.corestandards.org/Math/Content/1/NBT/B/2/c,Number & Operations in Base Ten ,Grade 1,Understand place value.,CCSS.Math.Content.1.NBT.B.2
CCSS.Math.Content.1.NBT.B.3," Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",http://www.corestandards.org/Math/Content/1/NBT/B/3,Number & Operations in Base Ten ,Grade 1,Understand place value.,
CCSS.Math.Content.1.NBT.C.4," Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",http://www.corestandards.org/Math/Content/1/NBT/C/4,Number & Operations in Base Ten ,Grade 1,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.1.NBT.C.5," Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",http://www.corestandards.org/Math/Content/1/NBT/C/5,Number & Operations in Base Ten ,Grade 1,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.1.NBT.C.6," Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",http://www.corestandards.org/Math/Content/1/NBT/C/6,Number & Operations in Base Ten ,Grade 1,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.1.MD.A.1, Order three objects by length; compare the lengths of two objects indirectly by using a third object.,http://www.corestandards.org/Math/Content/1/MD/A/1,Measurement & Data,Grade 1,Measure lengths indirectly and by iterating length units.,
CCSS.Math.Content.1.MD.A.2," Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. ",http://www.corestandards.org/Math/Content/1/MD/A/2,Measurement & Data,Grade 1,Measure lengths indirectly and by iterating length units.,
CCSS.Math.Content.1.MD.B.3, Tell and write time in hours and half-hours using analog and digital clocks.,http://www.corestandards.org/Math/Content/1/MD/B/3,Measurement & Data,Grade 1,Tell and write time.,
CCSS.Math.Content.1.MD.C.4," Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",http://www.corestandards.org/Math/Content/1/MD/C/4,Measurement & Data,Grade 1,Represent and interpret data.,
CCSS.Math.Content.1.G.A.1," Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size) ; build and draw shapes to possess defining attributes.",http://www.corestandards.org/Math/Content/1/G/A/1,Geometry,Grade 1,Reason with shapes and their attributes.,
CCSS.Math.Content.1.G.A.2," Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape",http://www.corestandards.org/Math/Content/1/G/A/2,Geometry,Grade 1,Reason with shapes and their attributes.,
CCSS.Math.Content.1.G.A.3," Partition circles and rectangles into two and four equal shares, describe the shares using the words ",http://www.corestandards.org/Math/Content/1/G/A/3,Geometry,Grade 1,Reason with shapes and their attributes.,
CCSS.Math.Content.2.OA.A.1," Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",http://www.corestandards.org/Math/Content/2/OA/A/1,Operations & Algebraic Thinking,Grade 2,Represent and solve problems involving addition and subtraction.,
CCSS.Math.Content.2.OA.B.2, Fluently add and subtract within 20 using mental strategies.,http://www.corestandards.org/Math/Content/2/OA/B/2,Operations & Algebraic Thinking,Grade 2,Add and subtract within 20.,
CCSS.Math.Content.2.OA.C.3," Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",http://www.corestandards.org/Math/Content/2/OA/C/3,Operations & Algebraic Thinking,Grade 2,Work with equal groups of objects to gain foundations for multiplication.,
CCSS.Math.Content.2.OA.C.4, Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,http://www.corestandards.org/Math/Content/2/OA/C/4,Operations & Algebraic Thinking,Grade 2,Work with equal groups of objects to gain foundations for multiplication.,
CCSS.Math.Content.2.NBT.A.1," Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",http://www.corestandards.org/Math/Content/2/NBT/A/1,Number & Operations in Base Ten ,Grade 2,Understand place value.,
CCSS.Math.Content.2.NBT.A.1a, 100 can be thought of as a bundle of ten tens  -  called a “hundred.”,http://www.corestandards.org/Math/Content/2/NBT/A/1/a,Number & Operations in Base Ten ,Grade 2,Understand place value.,CCSS.Math.Content.2.NBT.A.1
CCSS.Math.Content.2.NBT.A.1b," The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",http://www.corestandards.org/Math/Content/2/NBT/A/1/b,Number & Operations in Base Ten ,Grade 2,Understand place value.,CCSS.Math.Content.2.NBT.A.1
CCSS.Math.Content.2.NBT.A.2," Count within 1000; skip-count by 5s, 10s, and 100s.",http://www.corestandards.org/Math/Content/2/NBT/A/2,Number & Operations in Base Ten ,Grade 2,Understand place value.,
CCSS.Math.Content.2.NBT.A.3," Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",http://www.corestandards.org/Math/Content/2/NBT/A/3,Number & Operations in Base Ten ,Grade 2,Understand place value.,
CCSS.Math.Content.2.NBT.A.4," Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",http://www.corestandards.org/Math/Content/2/NBT/A/4,Number & Operations in Base Ten ,Grade 2,Understand place value.,
CCSS.Math.Content.2.NBT.B.5," Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",http://www.corestandards.org/Math/Content/2/NBT/B/5,Number & Operations in Base Ten ,Grade 2,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.2.NBT.B.6, Add up to four two-digit numbers using strategies based on place value and properties of operations.,http://www.corestandards.org/Math/Content/2/NBT/B/6,Number & Operations in Base Ten ,Grade 2,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.2.NBT.B.7," Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",http://www.corestandards.org/Math/Content/2/NBT/B/7,Number & Operations in Base Ten ,Grade 2,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.2.NBT.B.8," Mentally add 10 or 100 to a given number 100–900, and mentally subtract 10 or 100 from a given number 100–900.",http://www.corestandards.org/Math/Content/2/NBT/B/8,Number & Operations in Base Ten ,Grade 2,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.2.NBT.B.9," Explain why addition and subtraction strategies work, using place value and the properties of operations.",http://www.corestandards.org/Math/Content/2/NBT/B/9,Number & Operations in Base Ten ,Grade 2,Use place value understanding and properties of operations to add and subtract.,
CCSS.Math.Content.2.MD.A.1," Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",http://www.corestandards.org/Math/Content/2/MD/A/1,Measurement & Data,Grade 2,Measure and estimate lengths in standard units.,
CCSS.Math.Content.2.MD.A.2," Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",http://www.corestandards.org/Math/Content/2/MD/A/2,Measurement & Data,Grade 2,Measure and estimate lengths in standard units.,
CCSS.Math.Content.2.MD.A.3," Estimate lengths using units of inches, feet, centimeters, and meters.",http://www.corestandards.org/Math/Content/2/MD/A/3,Measurement & Data,Grade 2,Measure and estimate lengths in standard units.,
CCSS.Math.Content.2.MD.A.4," Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",http://www.corestandards.org/Math/Content/2/MD/A/4,Measurement & Data,Grade 2,Measure and estimate lengths in standard units.,
CCSS.Math.Content.2.MD.B.5," Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",http://www.corestandards.org/Math/Content/2/MD/B/5,Measurement & Data,Grade 2,Relate addition and subtraction to length.,
CCSS.Math.Content.2.MD.B.6," Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.",http://www.corestandards.org/Math/Content/2/MD/B/6,Measurement & Data,Grade 2,Relate addition and subtraction to length.,
CCSS.Math.Content.2.MD.C.7," Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",http://www.corestandards.org/Math/Content/2/MD/C/7,Measurement & Data,Grade 2,Work with time and money.,
CCSS.Math.Content.2.MD.C.8," Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?",http://www.corestandards.org/Math/Content/2/MD/C/8,Measurement & Data,Grade 2,Work with time and money.,
CCSS.Math.Content.2.MD.D.9," Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",http://www.corestandards.org/Math/Content/2/MD/D/9,Measurement & Data,Grade 2,Represent and interpret data.,
CCSS.Math.Content.2.MD.D.10," Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems",http://www.corestandards.org/Math/Content/2/MD/D/10,Measurement & Data,Grade 2,Represent and interpret data.,
CCSS.Math.Content.2.G.A.1," Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.",http://www.corestandards.org/Math/Content/2/G/A/1,Geometry,Grade 2,Reason with shapes and their attributes.,
CCSS.Math.Content.2.G.A.2, Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,http://www.corestandards.org/Math/Content/2/G/A/2,Geometry,Grade 2,Reason with shapes and their attributes.,
CCSS.Math.Content.2.G.A.3," Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",http://www.corestandards.org/Math/Content/2/G/A/3,Geometry,Grade 2,Reason with shapes and their attributes.,
CCSS.Math.Content.3.OA.A.1," Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. ",http://www.corestandards.org/Math/Content/3/OA/A/1,Operations & Algebraic Thinking,Grade 3,Represent and solve problems involving multiplication and division.,
CCSS.Math.Content.3.OA.A.2," Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. ",http://www.corestandards.org/Math/Content/3/OA/A/2,Operations & Algebraic Thinking,Grade 3,Represent and solve problems involving multiplication and division.,
CCSS.Math.Content.3.OA.A.3," Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",http://www.corestandards.org/Math/Content/3/OA/A/3,Operations & Algebraic Thinking,Grade 3,Represent and solve problems involving multiplication and division.,
CCSS.Math.Content.3.OA.A.4, Determine the unknown whole number in a multiplication or division equation relating three whole numbers. ,http://www.corestandards.org/Math/Content/3/OA/A/4,Operations & Algebraic Thinking,Grade 3,Represent and solve problems involving multiplication and division.,
CCSS.Math.Content.3.OA.B.5, Apply properties of operations as strategies to multiply and divide.,http://www.corestandards.org/Math/Content/3/OA/B/5,Operations & Algebraic Thinking,Grade 3,Understand properties of multiplication and the relationship between multiplication and division.,
CCSS.Math.Content.3.OA.B.6, Understand division as an unknown-factor problem. ,http://www.corestandards.org/Math/Content/3/OA/B/6,Operations & Algebraic Thinking,Grade 3,Understand properties of multiplication and the relationship between multiplication and division.,
CCSS.Math.Content.3.OA.C.7," Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",http://www.corestandards.org/Math/Content/3/OA/C/7,Operations & Algebraic Thinking,Grade 3,Multiply and divide within 100.,
CCSS.Math.Content.3.OA.D.8, Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,http://www.corestandards.org/Math/Content/3/OA/D/8,Operations & Algebraic Thinking,Grade 3,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",
CCSS.Math.Content.3.OA.D.9," Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. ",http://www.corestandards.org/Math/Content/3/OA/D/9,Operations & Algebraic Thinking,Grade 3,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",
CCSS.Math.Content.3.NBT.A.1, Use place value understanding to round whole numbers to the nearest 10 or 100.,http://www.corestandards.org/Math/Content/3/NBT/A/1,Number & Operations in Base Ten ,Grade 3,Use place value understanding and properties of operations to perform multi-digit arithmetic.1,
CCSS.Math.Content.3.NBT.A.2," Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",http://www.corestandards.org/Math/Content/3/NBT/A/2,Number & Operations in Base Ten ,Grade 3,Use place value understanding and properties of operations to perform multi-digit arithmetic.1,
CCSS.Math.Content.3.NBT.A.3," Multiply one-digit whole numbers by multiples of 10 in the range 10–90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.",http://www.corestandards.org/Math/Content/3/NBT/A/3,Number & Operations in Base Ten ,Grade 3,Use place value understanding and properties of operations to perform multi-digit arithmetic.1,
CCSS.Math.Content.3.NF.A.1, Understand a fraction 1/,http://www.corestandards.org/Math/Content/3/NF/A/1,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,
CCSS.Math.Content.3.NF.A.2, Understand a fraction as a number on the number line; represent fractions on a number line diagram.,http://www.corestandards.org/Math/Content/3/NF/A/2,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,
CCSS.Math.Content.3.NF.A.2a, Represent a fraction 1/,http://www.corestandards.org/Math/Content/3/NF/A/2/a,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.2
CCSS.Math.Content.3.NF.A.2b, Represent a fraction ,http://www.corestandards.org/Math/Content/3/NF/A/2/b,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.2
CCSS.Math.Content.3.NF.A.3," Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",http://www.corestandards.org/Math/Content/3/NF/A/3,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,
CCSS.Math.Content.3.NF.A.3a," Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.",http://www.corestandards.org/Math/Content/3/NF/A/3/a,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.3
CCSS.Math.Content.3.NF.A.3b," Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model.",http://www.corestandards.org/Math/Content/3/NF/A/3/b,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.3
CCSS.Math.Content.3.NF.A.3c," Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. ",http://www.corestandards.org/Math/Content/3/NF/A/3/c,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.3
CCSS.Math.Content.3.NF.A.3d," Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",http://www.corestandards.org/Math/Content/3/NF/A/3/d,Number & Operations - Fractions,Grade 3,Develop understanding of fractions as numbers.,CCSS.Math.Content.3.NF.A.3
CCSS.Math.Content.3.MD.A.1," Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",http://www.corestandards.org/Math/Content/3/MD/A/1,Measurement & Data,Grade 3,Solve problems involving measurement and estimation.,
CCSS.Math.Content.3.MD.A.2," Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).",http://www.corestandards.org/Math/Content/3/MD/A/2,Measurement & Data,Grade 3,Solve problems involving measurement and estimation.,
CCSS.Math.Content.3.MD.B.3, Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs. ,http://www.corestandards.org/Math/Content/3/MD/B/3,Measurement & Data,Grade 3,Represent and interpret data.,
CCSS.Math.Content.3.MD.B.4," Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units -  whole numbers, halves, or quarters.",http://www.corestandards.org/Math/Content/3/MD/B/4,Measurement & Data,Grade 3,Represent and interpret data.,
